name,owner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,openIssues,closedIssues,stars
cs-self-learning,PKUFlyingPig,2021-10-20T13:43:42Z,2025-08-11T20:02:37Z,HTML,296,5,106,104,66179
obs-studio,obsproject,2013-10-01T02:40:31Z,2025-08-11T19:51:02Z,C,5197,223,663,3920,66137
caddy,caddyserver,2015-01-13T19:45:03Z,2025-08-11T18:52:13Z,Go,2112,128,179,4137,66064
ansible,ansible,2012-03-06T14:58:02Z,2025-08-11T20:02:46Z,Python,39164,161,545,32458,65892
localsend,localsend,2022-12-16T00:46:07Z,2025-08-11T19:19:53Z,Dart,667,24,777,642,65813
awesome-mcp-servers,punkpeye,2024-11-30T04:49:10Z,2025-08-11T19:40:09Z,None,916,0,26,73,65641
awesome-cpp,fffaraz,2014-07-17T08:51:11Z,2025-08-11T18:50:04Z,None,799,0,346,237,65566
33-js-concepts,leonardomso,2018-09-04T13:27:04Z,2025-08-11T18:28:13Z,JavaScript,251,0,22,81,65500
webpack,webpack,2012-03-10T10:08:14Z,2025-08-11T19:57:40Z,JavaScript,5086,435,120,9964,65471
tabby,Eugeny,2016-12-23T09:06:10Z,2025-08-11T18:42:22Z,TypeScript,1489,199,2276,3401,65418
act,nektos,2019-01-02T19:53:43Z,2025-08-11T18:16:44Z,Go,1045,88,219,1060,65036
gpt4free,xtekky,2023-03-29T17:00:43Z,2025-08-11T18:02:35Z,Python,812,329,7,1848,64911
SecLists,danielmiessler,2012-02-19T01:30:18Z,2025-08-11T19:05:10Z,PHP,681,28,5,290,64832
AppFlowy,AppFlowy-IO,2021-06-16T12:56:48Z,2025-08-11T17:03:10Z,Dart,3876,110,968,2628,64832
javascript-questions,lydiahallie,2019-06-12T08:26:27Z,2025-08-11T19:39:40Z,None,328,0,17,233,64737
uv,astral-sh,2023-10-02T20:24:11Z,2025-08-11T19:48:09Z,Rust,7107,204,1870,5389,64429
interviews,kdn251,2017-02-14T18:19:25Z,2025-08-11T15:59:03Z,Java,42,0,32,24,64343
lobe-chat,lobehub,2023-05-21T07:19:12Z,2025-08-11T20:06:27Z,TypeScript,2471,1000,864,3414,64338
awesome-scalability,binhnguyennus,2017-12-27T03:46:40Z,2025-08-11T20:01:11Z,None,36,0,0,0,64314
echarts,apache,2013-04-03T03:18:59Z,2025-08-11T19:08:17Z,TypeScript,1445,122,1865,17205,64309
Stirling-PDF,Stirling-Tools,2023-01-27T18:22:42Z,2025-08-11T19:25:09Z,Java,2185,135,310,1077,64225
awesome-public-datasets,awesomedata,2014-11-20T06:20:50Z,2025-08-11T18:44:15Z,None,188,1,70,48,64040
servers,modelcontextprotocol,2024-11-19T01:10:17Z,2025-08-11T19:56:36Z,TypeScript,820,19,184,441,63815
nocode,kelseyhightower,2018-02-06T23:54:00Z,2025-08-11T18:56:13Z,Dockerfile,1,1,4143,716,63736
zed,zed-industries,2021-02-20T03:01:06Z,2025-08-11T20:03:08Z,Rust,16020,951,2600,11280,63678
the-algorithm,twitter,2023-03-27T14:57:57Z,2025-08-11T17:37:26Z,Scala,2,0,280,728,63483
lazygit,jesseduffield,2018-05-19T00:53:06Z,2025-08-11T19:58:29Z,Go,1675,169,698,1588,63393
keras,keras-team,2015-03-28T00:35:42Z,2025-08-11T11:46:40Z,Python,4218,79,227,12292,63300
LLMs-from-scratch,rasbt,2023-07-23T18:15:57Z,2025-08-11T19:31:27Z,Jupyter Notebook,381,0,5,165,63183
anime,juliangarnier,2016-03-13T21:37:45Z,2025-08-11T19:53:28Z,JavaScript,75,21,84,708,63087
scikit-learn,scikit-learn,2010-08-17T09:43:38Z,2025-08-11T17:21:08Z,Python,13433,47,1582,10059,62965
Java,TheAlgorithms,2016-07-16T10:21:02Z,2025-08-11T18:23:57Z,Java,2009,0,5,1100,62664
design-resources-for-developers,bradtraversy,2020-05-06T14:40:35Z,2025-08-11T18:37:01Z,None,949,0,0,104,62653
resume.github.com,resume,2011-02-06T13:39:55Z,2025-08-11T12:06:23Z,JavaScript,84,0,56,66,62591
Apollo-11,chrislgarry,2014-04-03T15:45:02Z,2025-08-11T17:44:08Z,Assembly,343,0,56,326,62433
annotated_deep_learning_paper_implementations,labmlai,2020-08-25T02:29:34Z,2025-08-11T17:26:31Z,Python,101,0,24,113,62424
socket.io,socketio,2010-03-11T18:24:48Z,2025-08-11T18:41:52Z,TypeScript,435,75,194,3422,62284
sway,FuelLabs,2021-01-19T20:54:33Z,2025-08-11T16:52:38Z,Rust,3491,178,845,2446,62147
awesome-nodejs,sindresorhus,2014-07-11T13:35:34Z,2025-08-11T15:53:11Z,None,418,0,2,102,62134
ragflow,infiniflow,2023-12-12T06:13:13Z,2025-08-11T19:52:35Z,TypeScript,3623,29,2587,2261,62132
